name,country_iso2,lat,lon,population
Graz,AT,47.06733,15.44197,303270
Gratkorn,AT,47.13333,15.35,6806
Götzis,AT,47.33306,9.63306,11473
Gösting,AT,47.09788,15.39777,11255
Gmunden,AT,47.91839,13.79933,13191
Gleisdorf,AT,47.10559,15.71011,6418
Gerasdorf bei Wien,AT,48.29447,16.46765,9442
Gänserndorf,AT,48.33925,16.72016,11404
Gallneukirchen,AT,48.35363,14.41604,6492
Fürstenfeld,AT,47.05,16.08333,6327
Fünfhaus,AT,48.19596,16.3183,76396
Freistadt,AT,48.51103,14.50453,7397
Floridsdorf,AT,48.25,16.4,162779
Fischamend,AT,48.11843,16.61211,5708
Feldkirch,AT,47.23645,9.59734,33420
Essling,AT,48.21289,16.52442,21200
Enns,AT,48.21346,14.47612,9812
Eisenstadt,AT,47.84565,16.52327,9217
Eggenberg,AT,47.07,15.39871,20511
Ebreichsdorf,AT,47.95579,16.40705,5236
Dornbirn,AT,47.41427,9.74195,49278
Deutschlandsberg,AT,46.81528,15.22222,8429
Deuchendorf,AT,47.46593,15.32172,5507
Brunn am Gebirge,AT,48.10697,16.28466,11864
Bruck an der Mur,AT,47.41667,15.28333,9093
Bruck an der Leitha,AT,48.0242,16.7757,6882
Breitenfurt bei Wien,AT,48.13333,16.15,5853
Bregenz,AT,47.50311,9.7471,29806
Bludenz,AT,47.15476,9.82255,15102
Bischofshofen,AT,47.41667,13.21667,7457
Berndorf,AT,47.94567,16.10973,9064
Bad Vöslau,AT,47.96533,16.21359,7469
Bad Hall,AT,48.03832,14.20773,5296
Baden,AT,48.00543,16.23264,26286
Axams,AT,47.23111,11.27892,5130
Aspern,AT,48.21806,16.48306,50687
Arzl,AT,47.28333,11.43333,11082
Annabichl,AT,46.65,14.31667,11374
Amstetten,AT,48.1229,14.87206,15559
Amras,AT,47.25,11.41667,5771
Altach,AT,47.35438,9.65207,6624
Absam,AT,47.29572,11.50593,7112
Finkenstein am Faaker See,AT,46.56081,13.87115,8406
Attnang-Puchheim,AT,48.00833,13.71667,8908
Auen,AT,46.59963,13.84389,6563
Favoriten,AT,48.16116,16.38233,201882
Frastanz,AT,47.21735,9.62995,6434
Kirchbichl,AT,47.51743,12.09629,5855
Kirchenviertel,AT,47.13124,15.34764,5791
Oberhaid,AT,48.17593,14.01495,5100
Villacher Vorstadt,AT,46.62368,14.28892,8421
Lind,AT,46.62244,13.84715,5252
Villach-Innere Stadt,AT,46.61275,13.84638,8189
Donaustadt,AT,48.2333,16.46002,187007
Jakomini,AT,47.05441,15.44984,32912
Lend,AT,47.08256,15.41589,31147
Geidorf,AT,47.08393,15.444,24767
Sankt Leonhard,AT,47.06924,15.45784,15853
Andritz,AT,47.11387,15.42348,19020
Gries,AT,47.06236,15.42421,29363
Währing,AT,48.22611,16.34484,51402
Landstraße,AT,48.2019,16.38792,98389
Margareten,AT,48.1855,16.35373,54412
Mariahilf,AT,48.19571,16.35215,31381
Neubau,AT,48.20172,16.34715,31521
Josefstadt,AT,48.21243,16.34549,24499
Alsergrund,AT,48.22321,16.35506,41645
Brigittenau,AT,48.24275,16.37551,86967
Zwijndrecht,BE,51.21979,4.32664,18249
Zwijnaarde,BE,51.00077,3.70746,7379
Zwevezele,BE,51.03683,3.21186,5873
Zwevegem,BE,50.81268,3.33848,23358
Zutendaal,BE,50.93306,5.5753,6962
Zulte,BE,50.91954,3.44859,14670
Zoutleeuw,BE,50.83316,5.10376,7897
Zottegem,BE,50.86955,3.81052,24434
Zonnebeke,BE,50.8726,2.98725,11581
Zonhoven,BE,50.99064,5.36819,19922
Zomergem,BE,51.11994,3.56496,8158
Zolder,BE,51.02455,5.30983,17289
Zoersel,BE,51.26825,4.71296,10000
Zingem,BE,50.90409,3.65305,6588
Zichem,BE,51.00187,4.98316,6497
Zemst,BE,50.98318,4.46079,21096
Zelzate,BE,51.18963,3.80777,11901
Zellik,BE,50.88408,4.27325,10874
Zele,BE,51.06566,4.0403,20236
Zedelgem,BE,51.14236,3.1368,21968
Zaventem,BE,50.88365,4.47298,28188
Zandhoven,BE,51.21488,4.66164,12306
Yvoir,BE,50.3279,4.88059,8169
Wuustwezel,BE,51.39214,4.59546,15000
Wondelgem,BE,51.08705,3.70909,23546
Wommelgem,BE,51.20452,4.5225,11917
Wolvertem,BE,50.95172,4.30964,8045
Woluwe-Saint-Lambert,BE,50.84389,4.42912,56584
Wingene,BE,51.05782,3.27359,12887
Wilsele,BE,50.89188,4.69769,9845
Wilrijk,BE,51.16734,4.39513,41403
Willebroek,BE,51.06041,4.36019,22808
Wijnegem,BE,51.22787,4.51895,8932
Wielsbeke,BE,50.9,3.36667,8828
Wichelen,BE,51.00526,3.97683,11014
Wezembeek-Oppem,BE,50.8395,4.49427,13245
Wevelgem,BE,50.8,3.16667,30954
Wetteren,BE,51.00526,3.88341,22930
Westmalle,BE,51.29767,4.69013,8173
Westerlo,BE,51.09049,4.91544,22579
Westende,BE,51.15961,2.7687,5522
Wervik,BE,50.78069,3.03854,17340
Wépion,BE,50.42153,4.86403,6586
Wemmel,BE,50.90812,4.30613,14406
Wellen,BE,50.84096,5.33867,6804
Welkenraedt,BE,50.6605,5.97034,9006
Wavre,BE,50.71717,4.60138,34305
Watermael-Boitsfort,BE,50.80154,4.41436,25157
Waterloo,BE,50.71469,4.3991,29778
Wasmes,BE,50.41464,3.8471,11731
Waremme,BE,50.6976,5.25524,13737
Waregem,BE,50.88898,3.42756,35896
Wanze,BE,50.53907,5.20846,12918
Wanfercée-Baulet,BE,50.47291,4.58748,7246
Wandre,BE,50.66774,5.65959,6076
Walhain-Saint-Paul,BE,50.62627,4.69837,5992
Walcourt,BE,50.25401,4.43796,17501
Waimes,BE,50.41488,6.11207,6661
Wachtebeke,BE,51.16852,3.87183,6911
Waasmunster,BE,51.10572,4.08573,10460
Waarschoot,BE,51.1525,3.605,7762
Vottem,BE,50.67155,5.57693,7478
Vosselaar,BE,51.30856,4.8896,10317
Vorst,BE,51.08029,5.01998,6824
Visé,BE,50.7376,5.69907,17054
Virton,BE,49.56824,5.53259,11259
Vilvoorde,BE,50.92814,4.42938,36955
Villers-le-Bouillet,BE,50.57708,5.25945,6059
Villers-la-Ville,BE,50.57953,4.53398,9592
Vielsalm,BE,50.28407,5.91502,7291
Veurne,BE,51.07316,2.66803,11983
Verviers,BE,50.58907,5.86241,52824
Veldegem,BE,51.1048,3.1591,5189
Veerle,BE,51.06989,4.98761,5748
Vedrin,BE,50.50273,4.87604,7308
Vaux-sous-Chèvremont,BE,50.60302,5.6335,6503
Varsenare,BE,51.18981,3.13916,5081
Uitkerke,BE,51.30684,3.13712,7863
Uccle,BE,50.80225,4.33943,82929
Turnhout,BE,51.32254,4.94471,44000
Tubize,BE,50.69059,4.2009,18000
Trooz,BE,50.57026,5.69521,7559
Tremelo,BE,50.99231,4.70807,13721
Trazegnies,BE,50.46379,4.3329,6798
Tournai,BE,50.60715,3.38932,69554
Torhout,BE,51.0656,3.10085,18933
Tongerlo,BE,51.10622,4.91638,7404
Tongeren,BE,50.78054,5.46484,29816
Tilff,BE,50.56432,5.57642,5455
Tienen,BE,50.80745,4.9378,31743
Tielt,BE,50.99931,3.32707,19299
Tielt,BE,50.9421,4.90505,5053
Thuin,BE,50.33933,4.28604,14682
Theux,BE,50.53323,5.81245,11587
Tessenderlo,BE,51.06513,5.08856,16574
Tervuren,BE,50.82372,4.51418,20623
Ternat,BE,50.86654,4.16682,14569
Temse,BE,51.12794,4.21372,26054
Tamines,BE,50.43378,4.60713,7526
Strombeek-Bever,BE,50.91039,4.35582,13727
Strépy-Bracquegnies,BE,50.4728,4.12022,8880
Sterrebeek,BE,50.86171,4.49375,8357
Stene,BE,51.20437,2.91259,6310
Stembert,BE,50.59107,5.89404,8696
Stekene,BE,51.2099,4.03651,16989
Steenokkerzeel,BE,50.91851,4.50989,10566
Stavelot,BE,50.395,5.93124,6646
Staden,BE,50.97456,3.01469,10786
Stabroek,BE,51.33189,4.37127,17294
Sprimont,BE,50.50922,5.6595,12945
Spa,BE,50.48375,5.86674,10756
Soumagne,BE,50.61385,5.74679,15237
Sombreffe,BE,50.52865,4.60087,7452
Soignies,BE,50.57904,4.07129,24869
Sleidinge,BE,51.13363,3.67405,7640
Sint-Truiden,BE,50.81679,5.18647,37859
Sint-Stevens-Woluwe,BE,50.86838,4.45195,9038
Sint-Pieters-Leeuw,BE,50.77926,4.24355,30446
Sint-Niklaas,BE,51.16509,4.1437,69010
Sint-Michiels,BE,51.18806,3.21142,12297
Sint-Martens-Lennik,BE,50.81158,4.16965,8818
Sint-Martens-Latem,BE,51.01459,3.63779,8303
Sint-Maria-Lierde,BE,50.81867,3.84436,6449
Sint-Lievens-Houtem,BE,50.9197,3.86225,9146
Sint-Lenaarts,BE,51.34868,4.68009,6685
Sint-Laureins,BE,51.24202,3.52441,6657
Sint-Kwintens-Lennik,BE,50.80377,4.15489,5856
